2014-11-14 16:55:35 cat: Execute, proto: mysql-5, msg: SELECT  CAST(@p_id AS SIGNED) AS p_id
2014-11-14 16:55:38 cat: Bind prepared, proto: mysql-5, msg: SET @p_nombre_tabla = 'detalle_capturas'
2014-11-14 16:55:38 cat: Execute, proto: mysql-5, msg: SELECT  CAST(@p_id AS SIGNED) AS p_id
2014-11-14 16:55:40 cat: Bind prepared, proto: mysql-5, msg: SET @p_nombre_tabla = 'detalle_capturas'
2014-11-14 16:55:40 cat: Execute, proto: mysql-5, msg: SELECT  CAST(@p_id AS SIGNED) AS p_id
2014-11-14 16:55:48 cat: Bind prepared, proto: mysql-5, msg: SET @p_nombre_tabla = 'detalle_capturas'
2014-11-14 16:55:48 cat: Execute, proto: mysql-5, msg: SELECT  CAST(@p_id AS SIGNED) AS p_id
2014-11-14 16:55:51 cat: Bind prepared, proto: mysql-5, msg: SET @p_nombre_tabla = 'detalle_capturas'
2014-11-14 16:55:51 cat: Execute, proto: mysql-5, msg: SELECT  CAST(@p_id AS SIGNED) AS p_id
2014-11-14 16:55:54 cat: Bind prepared, proto: mysql-5, msg: SET @p_nombre_tabla = 'detalle_capturas'
2014-11-14 16:55:55 cat: Execute, proto: mysql-5, msg: SELECT  CAST(@p_id AS SIGNED) AS p_id
2014-11-14 16:55:57 cat: Bind prepared, proto: mysql-5, msg: SET @p_nombre_tabla = 'detalle_capturas'
2014-11-14 16:55:57 cat: Execute, proto: mysql-5, msg: SELECT  CAST(@p_id AS SIGNED) AS p_id
2014-11-14 16:56:00 cat: Bind prepared, proto: mysql-5, msg: SET @p_nombre_tabla = 'detalle_capturas'
2014-11-14 16:56:00 cat: Execute, proto: mysql-5, msg: SELECT  CAST(@p_id AS SIGNED) AS p_id
2014-11-14 16:56:04 cat: Bind prepared, proto: mysql-5, msg: SET @p_nombre_tabla = 'detalle_capturas'
2014-11-14 16:56:04 cat: Execute, proto: mysql-5, msg: SELECT  CAST(@p_id AS SIGNED) AS p_id
2014-11-14 16:56:06 cat: Bind prepared, proto: mysql-5, msg: SET @p_nombre_tabla = 'detalle_capturas'
2014-11-14 16:56:06 cat: Execute, proto: mysql-5, msg: SELECT  CAST(@p_id AS SIGNED) AS p_id
2014-11-14 16:56:09 cat: Bind prepared, proto: mysql-5, msg: SET @p_nombre_tabla = 'detalle_capturas'
2014-11-14 16:56:09 cat: Execute, proto: mysql-5, msg: SELECT  CAST(@p_id AS SIGNED) AS p_id
2014-11-14 16:56:12 cat: Bind prepared, proto: mysql-5, msg: SET @p_nombre_tabla = 'detalle_capturas'
2014-11-14 16:56:12 cat: Execute, proto: mysql-5, msg: SELECT  CAST(@p_id AS SIGNED) AS p_id
2014-11-14 16:56:15 cat: Bind prepared, proto: mysql-5, msg: SET @p_nombre_tabla = 'detalle_capturas'
2014-11-14 16:56:15 cat: Execute, proto: mysql-5, msg: SELECT  CAST(@p_id AS SIGNED) AS p_id
2014-11-14 16:56:17 cat: Bind prepared, proto: mysql-5, msg: SET @p_nombre_tabla = 'detalle_capturas'
2014-11-14 16:56:17 cat: Execute, proto: mysql-5, msg: SELECT  CAST(@p_id AS SIGNED) AS p_id
2014-11-14 16:56:19 cat: Bind prepared, proto: mysql-5, msg: SET @p_nombre_tabla = 'detalle_capturas'
2014-11-14 16:56:19 cat: Execute, proto: mysql-5, msg: SELECT  CAST(@p_id AS SIGNED) AS p_id
2014-11-14 16:56:22 cat: Bind prepared, proto: mysql-5, msg: SET @p_nombre_tabla = 'detalle_capturas'
2014-11-14 16:56:22 cat: Execute, proto: mysql-5, msg: SELECT  CAST(@p_id AS SIGNED) AS p_id
2014-11-14 16:56:24 cat: Bind prepared, proto: mysql-5, msg: SET @p_nombre_tabla = 'detalle_capturas'
2014-11-14 16:56:24 cat: Execute, proto: mysql-5, msg: SELECT  CAST(@p_id AS SIGNED) AS p_id
2014-11-14 16:56:26 cat: Bind prepared, proto: mysql-5, msg: SET @p_nombre_tabla = 'detalle_capturas'
2014-11-14 16:56:27 cat: Execute, proto: mysql-5, msg: SELECT  CAST(@p_id AS SIGNED) AS p_id
2014-11-14 16:56:30 cat: Bind prepared, proto: mysql-5, msg: SET @p_nombre_tabla = 'detalle_capturas'
2014-11-14 16:56:30 cat: Execute, proto: mysql-5, msg: SELECT  CAST(@p_id AS SIGNED) AS p_id
2014-11-14 16:56:33 cat: Bind prepared, proto: mysql-5, msg: SET @p_nombre_tabla = 'detalle_capturas'
2014-11-14 16:56:33 cat: Execute, proto: mysql-5, msg: SELECT  CAST(@p_id AS SIGNED) AS p_id
2014-11-14 16:56:35 cat: Bind prepared, proto: mysql-5, msg: SET @p_nombre_tabla = 'detalle_capturas'
2014-11-14 16:56:35 cat: Execute, proto: mysql-5, msg: SELECT  CAST(@p_id AS SIGNED) AS p_id
2014-11-14 16:56:37 cat: Bind prepared, proto: mysql-5, msg: SET @p_nombre_tabla = 'detalle_capturas'
2014-11-14 16:56:38 cat: Execute, proto: mysql-5, msg: SELECT  CAST(@p_id AS SIGNED) AS p_id
2014-11-14 16:56:40 cat: Bind prepared, proto: mysql-5, msg: SET @p_nombre_tabla = 'detalle_capturas'
2014-11-14 16:56:40 cat: Execute, proto: mysql-5, msg: SELECT  CAST(@p_id AS SIGNED) AS p_id
2014-11-14 16:56:42 cat: Bind prepared, proto: mysql-5, msg: SET @p_nombre_tabla = 'detalle_capturas'
2014-11-14 16:56:42 cat: Execute, proto: mysql-5, msg: SELECT  CAST(@p_id AS SIGNED) AS p_id
2014-11-14 16:56:45 cat: Bind prepared, proto: mysql-5, msg: SET @p_nombre_tabla = 'detalle_capturas'
2014-11-14 16:56:45 cat: Execute, proto: mysql-5, msg: SELECT  CAST(@p_id AS SIGNED) AS p_id
2014-11-14 16:56:48 cat: Bind prepared, proto: mysql-5, msg: SET @p_nombre_tabla = 'detalle_capturas'
2014-11-14 16:56:48 cat: Execute, proto: mysql-5, msg: SELECT  CAST(@p_id AS SIGNED) AS p_id
2014-11-14 16:56:50 cat: Bind prepared, proto: mysql-5, msg: SET @p_nombre_tabla = 'detalle_capturas'
2014-11-14 16:56:50 cat: Execute, proto: mysql-5, msg: SELECT  CAST(@p_id AS SIGNED) AS p_id
2014-11-14 16:56:53 cat: Bind prepared, proto: mysql-5, msg: SET @p_nombre_tabla = 'detalle_capturas'
2014-11-14 16:56:53 cat: Execute, proto: mysql-5, msg: SELECT  CAST(@p_id AS SIGNED) AS p_id
2014-11-14 16:56:55 cat: Bind prepared, proto: mysql-5, msg: SET @p_nombre_tabla = 'detalle_capturas'
2014-11-14 16:56:55 cat: Execute, proto: mysql-5, msg: SELECT  CAST(@p_id AS SIGNED) AS p_id
2014-11-14 16:56:58 cat: Bind prepared, proto: mysql-5, msg: SET @p_nombre_tabla = 'detalle_capturas'
2014-11-14 16:56:58 cat: Execute, proto: mysql-5, msg: SELECT  CAST(@p_id AS SIGNED) AS p_id
2014-11-14 16:57:00 cat: Bind prepared, proto: mysql-5, msg: SET @p_nombre_tabla = 'detalle_capturas'
2014-11-14 16:57:00 cat: Execute, proto: mysql-5, msg: SELECT  CAST(@p_id AS SIGNED) AS p_id
2014-11-14 16:57:02 cat: Bind prepared, proto: mysql-5, msg: SET @p_nombre_tabla = 'detalle_capturas'
2014-11-14 16:57:02 cat: Execute, proto: mysql-5, msg: SELECT  CAST(@p_id AS SIGNED) AS p_id
2014-11-14 16:57:06 cat: Bind prepared, proto: mysql-5, msg: SET @p_nombre_tabla = 'detalle_capturas'
2014-11-14 16:57:06 cat: Execute, proto: mysql-5, msg: SELECT  CAST(@p_id AS SIGNED) AS p_id
2014-11-14 16:57:10 cat: Bind prepared, proto: mysql-5, msg: SET @p_nombre_tabla = 'detalle_capturas'
2014-11-14 16:57:10 cat: Execute, proto: mysql-5, msg: SELECT  CAST(@p_id AS SIGNED) AS p_id
2014-11-14 16:57:12 cat: Bind prepared, proto: mysql-5, msg: SET @p_nombre_tabla = 'detalle_capturas'
2014-11-14 16:57:12 cat: Execute, proto: mysql-5, msg: SELECT  CAST(@p_id AS SIGNED) AS p_id
2014-11-14 16:57:15 cat: Bind prepared, proto: mysql-5, msg: SET @p_nombre_tabla = 'detalle_capturas'
2014-11-14 16:57:15 cat: Execute, proto: mysql-5, msg: SELECT  CAST(@p_id AS SIGNED) AS p_id
2014-11-14 16:57:19 cat: Bind prepared, proto: mysql-5, msg: SET @p_nombre_tabla = 'detalle_capturas'
2014-11-14 16:57:19 cat: Execute, proto: mysql-5, msg: SELECT  CAST(@p_id AS SIGNED) AS p_id
2014-11-14 16:57:22 cat: Bind prepared, proto: mysql-5, msg: SET @p_nombre_tabla = 'detalle_capturas'
2014-11-14 16:57:22 cat: Execute, proto: mysql-5, msg: SELECT  CAST(@p_id AS SIGNED) AS p_id
2014-11-14 16:57:26 cat: Bind prepared, proto: mysql-5, msg: SET @p_nombre_tabla = 'detalle_capturas'
2014-11-14 16:57:26 cat: Execute, proto: mysql-5, msg: SELECT  CAST(@p_id AS SIGNED) AS p_id
2014-11-14 16:57:29 cat: Bind prepared, proto: mysql-5, msg: SET @p_nombre_tabla = 'detalle_capturas'
2014-11-14 16:57:29 cat: Execute, proto: mysql-5, msg: SELECT  CAST(@p_id AS SIGNED) AS p_id
2014-11-14 16:57:32 cat: Bind prepared, proto: mysql-5, msg: SET @p_nombre_tabla = 'detalle_capturas'
2014-11-14 16:57:32 cat: Execute, proto: mysql-5, msg: SELECT  CAST(@p_id AS SIGNED) AS p_id
2014-11-14 16:57:36 cat: Bind prepared, proto: mysql-5, msg: SET @p_nombre_tabla = 'detalle_capturas'
2014-11-14 16:57:36 cat: Execute, proto: mysql-5, msg: SELECT  CAST(@p_id AS SIGNED) AS p_id
2014-11-14 16:57:38 cat: Bind prepared, proto: mysql-5, msg: SET @p_nombre_tabla = 'detalle_capturas'
2014-11-14 16:57:38 cat: Execute, proto: mysql-5, msg: SELECT  CAST(@p_id AS SIGNED) AS p_id
2014-11-14 16:57:41 cat: Bind prepared, proto: mysql-5, msg: SET @p_nombre_tabla = 'detalle_capturas'
2014-11-14 16:57:41 cat: Execute, proto: mysql-5, msg: SELECT  CAST(@p_id AS SIGNED) AS p_id
2014-11-14 16:57:43 cat: Bind prepared, proto: mysql-5, msg: SET @p_nombre_tabla = 'detalle_capturas'
2014-11-14 16:57:43 cat: Execute, proto: mysql-5, msg: SELECT  CAST(@p_id AS SIGNED) AS p_id
2014-11-14 16:57:47 cat: Bind prepared, proto: mysql-5, msg: SET @p_nombre_tabla = 'detalle_capturas'
2014-11-14 16:57:47 cat: Execute, proto: mysql-5, msg: SELECT  CAST(@p_id AS SIGNED) AS p_id
2014-11-14 16:57:49 cat: Bind prepared, proto: mysql-5, msg: SET @p_nombre_tabla = 'detalle_capturas'
